Frequency (Hz)	Level (dB)
11068.066406	-99.239494
11111.132812	-99.381340
11154.199219	-99.065399
11197.265625	-98.892548
11240.332031	-98.875061
11283.398438	-98.823730
11326.464844	-98.956009
11369.531250	-98.755524
11412.597656	-98.879860
11455.664062	-98.757675
11498.730469	-98.954231
11541.796875	-99.139763
11584.863281	-99.073128
11627.929688	-99.269699
11670.996094	-99.096527
11714.062500	-98.764641
11757.128906	-98.893166
11800.195312	-98.916718
11843.261719	-98.724571
11886.328125	-98.574402
11929.394531	-98.637520
11972.460938	-98.850082
12015.527344	-98.754036
12058.593750	-98.497841
12101.660156	-98.479683
12144.726562	-98.290245
12187.792969	-97.998291
12230.859375	-97.505104
12273.925781	-97.103218
12316.992188	-97.406830
12360.058594	-97.380981
12403.125000	-97.323631
12446.191406	-97.570724
12489.257812	-97.793137
12532.324219	-97.822655
12575.390625	-97.340736
12618.457031	-96.856178
12661.523438	-96.597923
12704.589844	-96.476631
12747.656250	-96.771690
12790.722656	-96.392731
12833.789062	-96.702065
12876.855469	-97.080643
12919.921875	-97.072830
12962.988281	-97.085472
13006.054688	-97.232903
13049.121094	-97.366096
13092.187500	-97.302162
13135.253906	-97.541931
13178.320312	-97.617561
13221.386719	-97.103409
13264.453125	-97.132507
13307.519531	-97.597565
13350.585938	-97.873039
13393.652344	-97.757179
13436.718750	-97.741753
13479.785156	-97.769623
13522.851562	-97.880920
13565.917969	-98.114426
13608.984375	-98.303490
13652.050781	-98.227615
13695.117188	-98.346420
13738.183594	-98.483345
13781.250000	-98.377106
13824.316406	-98.462852
13867.382812	-98.970291
13910.449219	-99.102730
13953.515625	-98.799438
13996.582031	-99.105247
14039.648438	-99.070122
14082.714844	-99.350578
14125.781250	-99.254280
14168.847656	-99.044006
14211.914062	-99.530869
14254.980469	-99.750778
14298.046875	-99.721970
14341.113281	-99.945900
14384.179688	-100.343239
14427.246094	-100.411888
14470.312500	-100.396744
14513.378906	-100.104950
14556.445312	-100.244827
14599.511719	-100.951782
14642.578125	-101.089348
14685.644531	-100.989685
14728.710938	-101.184143
14771.777344	-101.477699
14814.843750	-101.283875
14857.910156	-101.624908
14900.976562	-101.717308
14944.042969	-102.032356
14987.109375	-102.484520
15030.175781	-102.575638
15073.242188	-102.379211
15116.308594	-102.513451
15159.375000	-102.594604
15202.441406	-102.828529
15245.507812	-102.580772
15288.574219	-102.794586
15331.640625	-103.216599
15374.707031	-103.459419
15417.773438	-103.420273
15460.839844	-103.253151
15503.906250	-103.399643
15546.972656	-103.706139
15590.039062	-104.117020
15633.105469	-104.410622
15676.171875	-104.136856
15719.238281	-104.054642
15762.304688	-104.915611
15805.371094	-105.495499
15848.437500	-105.043182
15891.503906	-105.012657
15934.570312	-105.319351
15977.636719	-106.070198
16020.703125	-105.893013
16063.769531	-105.750443
16106.835938	-106.246727
16149.902344	-106.401871
16192.968750	-106.568451
16236.035156	-106.676826
16279.101562	-106.709419
16322.167969	-106.699501
16365.234375	-106.785294
16408.300781	-106.690361
16451.367188	-106.565147
16494.433594	-106.683052
16537.500000	-106.750870
16580.566406	-106.924957
16623.632812	-107.074203
16666.699219	-106.782722
16709.765625	-107.400459
16752.832031	-109.503189
16795.898438	-113.592346
16838.964844	-117.924965
16882.031250	-119.915741
16925.097656	-120.065918
16968.164062	-120.044144
17011.230469	-119.970299
17054.296875	-119.724625
17097.363281	-120.012390
17140.429688	-120.249207
17183.496094	-120.426888
17226.562500	-120.346504
17269.628906	-120.229134
17312.695312	-120.043045
17355.761719	-119.977303
17398.828125	-120.099846
17441.894531	-120.162766
17484.960938	-120.174156
17528.027344	-120.238976
17571.093750	-120.207993
17614.160156	-119.786095
17657.226562	-119.861794
17700.292969	-120.174530
17743.359375	-119.959076
17786.425781	-120.059952
17829.492188	-120.208534
17872.558594	-120.223572
17915.625000	-120.056725
17958.691406	-120.141296
18001.757812	-120.101707
18044.824219	-120.033516
18087.890625	-120.106277
18130.957031	-120.002060
18174.023438	-119.852776
18217.089844	-120.003975
18260.156250	-120.126884
18303.222656	-120.111046
18346.289062	-119.967224
18389.355469	-120.159401
18432.421875	-120.412247
18475.488281	-120.122154
18518.554688	-119.992065
18561.621094	-119.976219
18604.687500	-120.191917
18647.753906	-120.264053
18690.820312	-120.155388
18733.886719	-120.113533
18776.953125	-120.314705
18820.019531	-120.675560
18863.085938	-120.265526
18906.152344	-120.414734
18949.218750	-120.531578
18992.285156	-120.246231
19035.351562	-120.019859
19078.417969	-120.140175
19121.484375	-120.361176
19164.550781	-120.183968
19207.617188	-120.217285
19250.683594	-120.441002
19293.750000	-120.486778
19336.816406	-120.349205
19379.882812	-120.188812
19422.949219	-120.379295
19466.015625	-120.489937
19509.082031	-120.308472
19552.148438	-120.381744
19595.214844	-120.159935
19638.281250	-120.137489
19681.347656	-120.540092
19724.414062	-120.428078
19767.480469	-120.354248
19810.546875	-120.321815
19853.613281	-120.425255
19896.679688	-120.498497
19939.746094	-120.445557
19982.812500	-120.620537
20025.878906	-120.612228
20068.945312	-120.523727
20112.011719	-120.405396
20155.078125	-120.180534
20198.144531	-120.424431
20241.210938	-120.495567
20284.277344	-120.458145
20327.343750	-120.153053
20370.410156	-120.197655
20413.476562	-120.510506
20456.542969	-120.488052
20499.609375	-120.487328
20542.675781	-120.501198
20585.742188	-120.410179
20628.808594	-120.244507
20671.875000	-120.169624
20714.941406	-120.244431
20758.007812	-120.430260
20801.074219	-120.356911
20844.140625	-120.592003
20887.207031	-120.511246
20930.273438	-120.169632
20973.339844	-120.264885
21016.406250	-120.465897
21059.472656	-120.449539
21102.539062	-120.430489
21145.605469	-120.665184
21188.671875	-120.409912
21231.738281	-120.243637
21274.804688	-120.443810
21317.871094	-120.344856
21360.937500	-119.979393
21404.003906	-120.230812
21447.070312	-120.448357
21490.136719	-120.342461
21533.203125	-120.424133
21576.269531	-120.490456
21619.335938	-120.442528
21662.402344	-120.219482
21705.468750	-120.292961
21748.535156	-120.424126
21791.601562	-120.500870
21834.667969	-120.414146
21877.734375	-120.483414
21920.800781	-120.295433
21963.867188	-120.668716
22006.933594	-122.315460
